,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
36,OHLC/4,4,221,19,4,4,0.2,1045,619,329,62,422,66,92,908,58,40,299,319,107,351,701,644,424,379,907,617,492,487,946,227,494,78,255,557,377,896,4,20,37,14,187,4,11,69,6,960,22,18,0.26,0.13,0.21,0.39,0.35,0.55,True,False,False,True,True,False,False,False,True,False,False,True,False,True,True,False,True,-1.0,True,False,-0.0202176126861937,-0.0026391353068703,-0.0013036318344994
37,open,4,140,19,4,19,0.04,724,572,194,391,21,356,129,384,279,374,253,252,246,440,636,635,457,355,977,836,426,254,358,813,130,534,456,922,505,370,4,32,18,15,486,18,30,18,13,584,2,8,0.05,0.4,0.95,0.91,1.0,0.99,False,True,True,True,True,False,True,True,False,False,True,True,False,True,True,False,False,6.032823484860533,True,False,-0.0962148721754108,-0.0264347766877651,-0.0258785531405502
38,HL/2,6,18,14,4,14,0.2,1238,905,135,80,936,284,199,67,70,247,492,392,56,255,770,625,441,376,810,510,431,285,190,59,574,466,49,340,560,492,11,45,51,6,904,8,38,18,12,350,11,22,0.32,0.09,0.34,0.45,0.49,0.62,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,16.724411091025054,True,False,-0.1239067945375881,-0.0274954620325075,-0.025177210765178
39,high,4,234,19,6,4,0.13,1956,767,263,99,137,197,390,526,46,380,464,291,26,687,740,606,379,316,775,729,414,385,688,918,76,900,339,953,468,970,20,29,26,15,591,5,40,92,5,119,12,13,0.26,0.34,0.17,0.25,0.32,0.43,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,29.10617525529863,True,False,-0.102719452816575,-0.0192925263384783,-0.0174142440641318
40,high,4,366,14,5,18,0.4,779,838,117,177,858,130,152,464,61,21,595,159,258,564,785,697,321,308,896,759,443,409,85,340,79,938,83,892,979,263,14,59,5,18,569,3,9,38,2,43,25,13,0.3,0.03,0.08,0.11,0.21,0.26,False,False,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,36.22271642700368,True,False,-0.0987091859207571,-0.0180824950488492,-0.0153811698071615
41,high,5,246,18,3,17,0.06,1453,885,56,37,10,234,214,57,338,53,21,179,278,714,632,595,471,335,865,650,481,260,190,418,588,926,211,277,270,954,9,36,27,3,954,7,23,72,5,889,23,22,0.1,0.05,0.02,0.97,0.08,0.19,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,-1.0,True,False,0.0480622973245159,0.0060705649363608,0.0095752715885463
42,close,4,95,14,1,7,0.38,2967,293,333,350,870,100,347,502,38,291,976,327,46,60,816,799,496,377,761,549,464,437,610,91,922,327,493,868,440,99,3,10,101,7,5,5,11,51,5,525,4,15,0.03,0.21,0.8,0.82,0.86,0.91,False,True,False,False,True,False,False,False,True,True,True,True,False,True,False,True,False,-1.0,True,False,-0.2468730785552766,-0.0614558610382474,-0.0602723287328838
43,low,6,365,18,1,14,0.4,2608,691,312,199,442,28,98,440,120,178,514,260,337,597,931,597,433,348,972,804,470,362,744,324,792,784,49,376,755,722,5,55,47,12,423,3,19,104,8,978,14,23,0.16,0.24,0.67,0.81,0.73,0.85,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,-1.0,True,False,-0.0602142230973346,-0.0117526934049689,-0.0077144216507481
44,HLC/3,4,316,13,1,4,0.03,2952,526,332,119,817,217,94,24,147,18,949,400,101,255,991,587,391,253,982,681,500,291,832,995,478,783,583,674,983,476,27,43,58,19,457,2,49,82,3,359,23,9,0.38,0.37,0.6,0.9,0.67,0.93,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,-1.0,True,False,-0.1946163004537241,-0.0493353247797802,-0.0477959031656439
45,HL/2,4,395,19,1,5,0.22,2904,959,180,316,525,234,214,166,252,337,6,64,106,878,692,656,492,262,940,560,453,280,925,348,368,384,103,856,647,727,9,41,53,18,87,8,25,8,3,847,2,17,0.27,0.2,0.83,0.8,0.95,0.94,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,True,-1.0,True,False,-0.17492180643997812,-0.045596906761190464,-0.043798746911197235
