,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
3644,high,260.0,440.0,44.0,macdh,-0.2868097014652396,-0.2850946447780476,3.0,58.0,337.0,4H,-0.07886991676115931
3778,HLCC/4,284.0,288.0,31.0,macd,-0.37219284759044635,-0.3301581870961385,4.0,15.0,20.0,4H,-0.07891932496192255
1973,OHLC/4,219.0,318.0,15.0,macdh,-0.1708352968790233,-0.24169694887066118,5.0,75.0,273.0,4H,-0.07913039620852212
1983,HLC/3,271.0,624.0,48.0,macdh,-0.19390485835438956,-0.25555271504405996,1.0,44.0,67.0,4H,-0.07913277517783021
151,high,137.0,205.0,31.0,macdh,-0.28503478311656877,-0.29017791240914326,2.0,195.0,90.0,4H,-0.07917191584377402
2442,low,27.0,474.0,12.0,macd,-0.3602412313198808,-0.344772055026562,3.0,170.0,24.0,4H,-0.07920060317098675
415,OHLC/4,43.0,551.0,47.0,macds,-0.290043348897981,-0.2863504840271768,6.0,3.0,411.0,4H,-0.07928128749396614
4988,OHLC/4,225.0,335.0,5.0,macdh,-0.21812212095701802,-0.28602845995372933,3.0,106.0,279.0,4H,-0.07932309461754361
2998,HLC/3,15.0,323.0,5.0,macdh,-0.30225144634012424,-0.28083305250579593,2.0,343.0,293.0,4H,-0.079858770501655
2819,HL/2,258.0,275.0,42.0,macdh,-0.21244177170050382,-0.23990475145031703,6.0,55.0,347.0,4H,-0.07987782937706016
2362,HL/2,145.0,285.0,9.0,macdh,-0.3930595936035198,-0.32888658705988005,3.0,281.0,355.0,4H,-0.08026413284891848
2037,OHLC/4,62.0,384.0,7.0,macdh,-0.1687075686428525,-0.17070288765339126,1.0,59.0,200.0,4H,-0.08033090255524941
2767,low,259.0,577.0,16.0,macdh,-0.30564003531779205,-0.42708676247674277,2.0,84.0,377.0,4H,-0.08052463799265702
850,HL/2,189.0,183.0,45.0,macdh,-0.2233391182671412,-0.23418001396068072,4.0,99.0,248.0,4H,-0.08056966197552108
3925,close,249.0,381.0,14.0,macdh,-0.15108353002375827,-0.17310833204550788,2.0,24.0,255.0,4H,-0.08057278283737493
3999,HLC/3,148.0,222.0,48.0,macdh,-0.22417477787182988,-0.23480090952866595,4.0,102.0,292.0,4H,-0.08074125724639214
716,close,137.0,685.0,32.0,macdh,-0.20792693293342226,-0.21307522279002797,2.0,45.0,426.0,4H,-0.0810105625968461
948,OHLC/4,102.0,506.0,40.0,macdh,-0.2186514795701443,-0.24430439985160543,5.0,72.0,316.0,4H,-0.0811386734387728
4466,HLC/3,86.0,639.0,33.0,macdh,-0.20638750160008498,-0.25892359694022965,5.0,71.0,87.0,4H,-0.08114934307433708
195,OHLC/4,82.0,540.0,22.0,macdh,-0.20394203968432156,-0.2623471122928093,1.0,89.0,415.0,4H,-0.08118223724433701
4262,HL/2,57.0,312.0,9.0,macdh,-0.1560488194425777,-0.1442035421856316,3.0,43.0,109.0,4H,-0.08143589727346592
652,open,136.0,572.0,22.0,macdh,-0.1321593593387061,-0.13643107618348588,1.0,12.0,247.0,4H,-0.08147871318146127
876,OHLC/4,45.0,409.0,12.0,macd,-0.16365866515385485,-0.276642185710764,2.0,25.0,41.0,4H,-0.08159800723138826
666,OHLC/4,171.0,517.0,17.0,macdh,-0.14850529002312793,-0.22947863858923018,5.0,47.0,424.0,4H,-0.08169611238240738
4911,low,54.0,164.0,37.0,macdh,-0.14513687764069325,-0.1883276725466998,1.0,53.0,391.0,4H,-0.08176622925417737
1677,HL/2,113.0,497.0,2.0,macdh,-0.2172205870822714,-0.25304489501394883,2.0,104.0,186.0,4H,-0.08191551910701589
2792,open,52.0,193.0,24.0,macdh,-0.08942486084233618,-0.0994591147464699,1.0,7.0,454.0,4H,-0.08200333541527491
418,OHLC/4,139.0,474.0,32.0,macdh,-0.1441428372605963,-0.17495537097100147,5.0,32.0,43.0,4H,-0.08217019965333858
1021,HLC/3,175.0,674.0,36.0,macdh,-0.20306421655226717,-0.2287390462264362,1.0,40.0,213.0,4H,-0.08229718569297459
2855,close,77.0,572.0,32.0,macd,-0.32326103331480494,-0.43408724672019205,2.0,43.0,69.0,4H,-0.08248914299462587
1563,open,129.0,300.0,49.0,macdh,-0.37939222532687167,-0.37185651686152577,6.0,336.0,335.0,4H,-0.08263701191454086
261,close,37.0,626.0,21.0,macd,-0.37042143122147964,-0.39006652746328174,2.0,164.0,403.0,4H,-0.08329742835167683
4812,high,137.0,342.0,20.0,macdh,-0.18222781159564583,-0.20111191885797483,4.0,76.0,131.0,4H,-0.08369974804921419
2752,HLC/3,54.0,272.0,32.0,macdh,-0.23297647717664094,-0.25216642894184904,5.0,95.0,327.0,4H,-0.08375288593109786
1775,HL/2,76.0,548.0,23.0,macdh,-0.30345160452941744,-0.3265442082425194,5.0,123.0,225.0,4H,-0.08408674823452952
