,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
20,low,51,34,194,6,20,0.4,900,477,337,296,159,98,312,715,285,83,538,313,389,701,915,908,476,272,708,657,492,442,527,885,78,686,890,767,311,666,18,30,66,19,566,14,35,70,6,559,13,10,0.4,0.22,1.0,1.13,1.12,1.17,False,True,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False,0.0,False,True,0.0,0.0,0.0
21,HL/2,51,310,156,6,15,0.25,661,315,326,150,479,213,343,10,280,177,946,176,323,955,609,507,492,327,946,936,307,268,761,97,332,140,478,857,395,386,25,58,35,20,249,5,14,36,5,818,19,7,0.33,0.03,1.03,1.03,1.09,1.07,False,False,True,False,True,True,True,False,True,True,False,False,False,True,True,False,True,0.0,False,True,0.0,0.0,0.0
22,high,54,376,167,6,13,0.22,822,985,19,8,897,141,358,484,91,276,78,306,132,55,660,638,315,291,869,623,418,350,908,725,228,629,829,818,876,293,14,30,31,7,498,7,21,27,12,775,18,20,0.3,0.05,1.07,1.01,1.09,1.18,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,0.0,False,True,0.0,0.0,0.0
23,HLC/3,53,185,161,6,1,0.11,240,362,89,400,920,169,360,596,295,206,956,58,225,749,844,656,379,373,751,690,373,342,895,817,452,302,492,895,340,697,10,39,5,1,718,9,39,25,2,759,16,7,0.29,0.4,1.01,1.16,1.12,1.0,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,0.0,False,True,0.0,0.0,0.0
24,open,62,97,157,6,17,0.25,485,274,238,308,641,119,161,561,86,255,944,200,128,830,874,676,388,302,831,743,486,419,13,158,643,14,954,471,896,950,21,52,100,13,107,16,52,30,17,395,13,20,0.05,0.14,1.15,1.12,1.1,1.17,True,True,True,False,True,False,False,True,False,False,True,False,True,False,True,True,True,0.0,False,True,0.0,0.0,0.0
25,close,54,243,194,6,3,0.35,644,438,209,267,61,213,378,573,342,77,207,170,30,489,1000,652,429,413,698,617,452,323,728,256,191,283,205,641,659,890,20,41,7,5,790,12,20,85,15,915,8,7,0.33,0.31,1.06,1.05,1.02,1.17,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,0.0,False,True,0.0,0.0,0.0
26,low,60,49,197,6,1,0.34,2463,862,304,292,649,102,294,685,172,109,269,303,310,675,868,502,465,314,999,745,376,357,442,843,878,790,198,714,816,665,10,19,21,8,973,16,34,56,7,58,25,4,0.19,0.2,1.0,1.0,1.13,1.06,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,0.0,False,True,0.0,0.0,0.0
27,HLCC/4,54,279,167,6,10,0.3,1013,695,333,30,724,361,324,75,357,288,839,115,118,802,730,636,497,477,749,672,390,370,346,685,745,224,769,139,855,849,18,46,96,13,361,9,49,14,6,894,15,25,0.38,0.08,1.14,1.12,1.19,1.08,False,True,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,0.0,False,True,0.0,0.0,0.0
28,HL/2,74,35,173,6,18,0.03,2389,323,208,380,908,84,219,437,227,174,544,178,176,496,745,631,387,251,741,558,480,303,362,67,927,681,677,79,947,316,15,43,89,2,248,10,20,77,10,459,23,21,0.02,0.3,1.14,1.11,1.0,1.15,True,False,True,True,False,True,True,True,False,True,False,False,True,True,True,False,True,0.0,False,True,0.0,0.0,0.0
29,low,71,203,165,6,11,0.21,1068,339,132,254,409,81,372,824,335,279,739,269,47,352,822,792,453,303,904,539,488,416,27,35,804,874,208,549,21,820,11,34,69,7,787,17,51,51,7,642,15,8,0.14,0.29,1.02,1.08,1.18,1.04,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,0.0,False,True,0.0,0.0,0.0
