,num_st_pr,num_tp_pr,num_trade_pr,score,max_tp_pr,max_st_pr,mean_tp_pr,mean_st_pr,sum_st_pr,sum_tp_pr,money,draw_down,max_st,max_st_power,min_st,min_st_power,max_tp,max_tp_power,min_tp,min_tp_power,value_front_intervals_pr_upper,value_front_intervals_pr_upper_power,value_front_intervals_pr_lower,value_front_intervals_pr_lower_power,value_back_intervals_pr_upper,value_back_intervals_pr_upper_power,value_back_intervals_pr_lower,value_back_intervals_pr_lower_power,diff_extereme,methode
86,64,84,148,14.8299928900411,0.84,0.67,0.6045971380737685,0.4253711746033946,42.83843363270168,68.76449634400733,2266.227674627879,50.0515325751323,0.67,0.0526315789473684,0.66,0.0526315789473684,0.84,0.0769230769230769,0.83,0.0769230769230769,14.650756741712703,0.3076923076923077,14.534728704332796,0.3076923076923077,9.888730908606693,0.9,9.82305800194932,0.9,0.0,pr
87,48,68,116,14.177779317818384,0.88,0.74,0.5888702608145158,0.4308826502450983,33.61868780335969,53.941428077737065,1302.456558529099,52.36905091942621,0.74,0.0178571428571428,0.64,0.0535714285714285,0.88,0.125,0.78,0.1666666666666666,13.968215549816575,1.0,13.009237012106569,0.75,10.34787793254901,1.0,9.675129461165868,0.375,0.0,pr
88,51,86,137,10.899101760399963,1.0,0.96,0.6738766323133342,0.4946543783851925,46.35534657017645,72.83133846877817,2458.649944082877,69.32337121685723,0.65,0.0545454545454545,0.61,0.0545454545454545,0.83,0.1428571428571428,0.79,0.1428571428571428,6.245824415269523,0.4,6.0350038224413485,0.2,3.969501227107539,0.7,3.840688926212396,0.7,0.0,pr
89,52,71,123,20.31298927754828,0.93,0.66,0.5904613235743098,0.3743489652955831,31.620831143989086,58.17419415262015,4028.8461187170633,46.433524998352,0.66,0.3529411764705882,0.55,0.3529411764705882,0.93,0.0533333333333333,0.82,0.04,6.187759189588625,1.0,5.6310726894455945,1.0,4.173847386122788,1.0,3.812002778373978,1.0,0.0,pr
90,39,53,92,9.473942879586785,0.97,0.93,0.6147689986461399,0.3886156140751985,25.47313819707432,45.807711872959125,1870.0956773910707,55.01651054343597,0.82,0.1578947368421052,0.48,0.3421052631578947,0.98,0.0689655172413793,0.73,0.1379310344827586,13.722711556574454,0.5294117647058824,11.219727930133407,0.7647058823529411,9.734535710877708,1.0,7.769942409588675,0.8947368421052632,5.0,pr
91,64,77,141,13.59310975101492,0.93,0.79,0.4718529693827053,0.30110767561329,31.1006228133699,51.80611027615584,1453.0090662885643,65.6622458105489,0.79,0.09375,0.39,0.25,0.93,0.037037037037037,0.66,0.074074074074074,7.862434346403418,0.7272727272727273,5.663548813579888,1.0,5.1295384678977936,0.4,3.8425091464777608,0.7,0.0,pr
92,480,648,1128,19.92483605453952,0.92,0.84,0.4018913464421272,0.3095449251716749,268.56149750845617,352.75771779572926,113334.73033825196,78.6844371728696,,,,,,,,,,,,,,,,,,
93,480,648,1128,19.92483605453952,0.92,0.84,0.4018913464421272,0.3095449251716749,268.56149750845617,352.75771779572926,113334.73033825196,78.6844371728696,,,,,,,,,,,,,,,,,,
94,67,83,150,8.121263252634556,0.88,0.75,0.4432345984373043,0.3532644190910006,38.521196164955086,55.302945702187536,994.6932232799352,51.251386176532,0.75,0.0307692307692307,0.49,0.0307692307692307,0.88,0.1,0.65,0.06,5.473193642179647,0.3636363636363636,4.345941836231648,0.3636363636363636,3.5816573714799893,0.4545454545454545,2.88690319653598,0.9090909090909092,0.0,pr
95,56,68,124,8.564716035493014,0.92,0.8,0.4691015318891522,0.3394988485118606,30.759682844420745,45.91861443894415,642.8338654396877,40.30005110495127,0.8,0.1509433962264151,0.47,0.2641509433962264,0.92,1.0,0.67,0.1125,5.913074475680152,0.7307692307692307,4.6084092215812005,1.0,3.9117990420610393,1.0,3.1077994053291818,0.6785714285714286,5.0,pr
