,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
72,OHLC/4,7,257,20,2,5,0.13,1771,441,196,177,562,169,188,959,197,95,348,376,117,938,988,702,365,287,703,518,427,350,589,808,255,464,470,40,140,448,19,60,37,6,832,9,38,44,6,662,8,21,0.4,0.26,0.22,0.34,0.41,0.56,True,True,True,False,False,True,True,False,True,False,False,False,True,True,False,True,True,26.154097477596103,True,False,-0.1154478952813993,-0.0228723499064261,-0.0224097279854839
73,HLCC/4,10,40,17,5,8,0.29,2609,206,375,55,983,196,233,748,337,214,724,398,172,632,592,533,463,436,597,530,368,271,567,251,289,161,944,229,655,706,5,53,17,19,295,12,40,74,2,257,22,3,0.4,0.14,0.11,0.15,0.28,0.34,False,True,True,True,True,False,True,False,False,False,True,False,True,False,False,True,False,35.51928047635956,True,False,-0.1819906830105616,-0.0440264449733068,-0.0431891427392223
74,high,10,370,19,5,9,0.11,1090,687,198,371,686,131,350,344,128,156,880,76,255,900,790,714,481,393,655,648,460,457,270,849,376,704,762,229,107,905,26,57,38,16,62,9,29,94,6,193,7,8,0.15,0.14,0.04,0.82,0.15,0.24,True,True,False,True,True,True,True,True,False,False,False,True,True,False,False,True,True,-1.0,True,False,-0.138509544724585,-0.0314362660550921,-0.0296386643442917
75,high,9,106,16,4,12,0.26,1812,437,359,263,764,375,329,294,37,43,708,31,249,391,971,693,327,325,990,674,433,335,831,272,324,731,554,441,484,260,7,35,55,11,865,6,50,63,10,24,5,11,0.06,0.35,0.52,0.84,0.87,0.82,True,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,False,11.68221114572038,True,False,-0.0705718049908103,-0.0114326556638484,-0.0105068427149431
76,close,10,132,15,3,16,0.05,1393,860,306,319,476,212,211,913,353,259,730,346,398,992,941,914,475,337,877,597,494,428,661,351,52,260,841,711,597,397,6,14,26,12,533,11,20,49,19,307,5,11,0.03,0.29,0.22,0.34,0.41,0.56,False,False,False,True,False,True,True,True,False,False,False,True,True,False,False,False,True,23.48815141330148,True,False,-0.2543242607495341,-0.0684511479341159,-0.0676565237467739
77,low,7,258,18,5,8,0.04,1516,436,91,276,683,147,301,753,363,223,216,196,231,776,962,609,441,403,681,666,413,362,7,177,120,87,601,385,304,673,8,44,95,3,623,2,39,35,1,340,21,17,0.3,0.11,0.13,0.14,0.28,0.31,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,False,False,33.24165288348067,True,False,-0.1672799481554699,-0.0382318240197903,-0.0382371319366964
78,OHLC/4,7,24,16,5,10,0.09,1172,254,369,356,795,242,74,730,397,398,299,292,114,195,903,823,375,325,888,575,336,312,842,190,975,765,652,640,513,69,15,53,86,8,510,15,44,14,10,738,7,13,0.25,0.01,0.06,0.99,0.19,0.2,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,19.34258061894317,True,False,-0.1806525633963945,-0.0402634056286993,-0.0400293167963141
79,close,8,140,17,5,15,0.1,793,837,11,139,484,221,36,71,398,142,959,392,294,831,969,545,376,336,887,586,499,381,489,198,430,359,536,512,734,131,7,35,52,2,406,16,47,90,16,131,23,6,0.16,0.13,0.02,0.82,0.1,0.12,True,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True,False,-1.0,True,False,-0.2281282808227592,-0.0601957586964577,-0.0592636195569234
80,HLCC/4,10,343,14,2,7,0.21,1843,585,321,291,346,354,127,823,230,132,391,82,302,206,884,567,276,252,869,808,365,316,361,905,803,147,57,895,938,113,4,45,25,1,298,6,21,37,5,149,12,8,0.3,0.16,0.8,0.92,1.0,0.99,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,-1.0,True,False,-0.0705718049908103,-0.0114326556638484,-0.0105068427149431
81,high,10,231,19,6,7,0.36,1220,655,162,103,804,20,389,36,45,353,768,231,75,727,696,508,428,327,884,863,341,336,341,136,829,724,260,667,345,878,10,57,88,17,201,2,32,16,6,804,7,14,0.16,0.06,1.12,1.17,1.05,1.19,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,-1.0,True,False,-0.0705718049908103,-0.0114326556638484,-0.0105068427149431
