,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
4661,723.0,662.0,41.0,sma,StochAstic_k,-0.2466212511461585,-0.2474429967204461,1.0,449.0,385.0,20T,-0.1299978155804121
4662,193.0,151.0,7.0,ema,StochAstic_d,-0.2018198680526828,-0.2016194744119107,6.0,289.0,233.0,20T,-0.1300059967455388
4663,518.0,16.0,28.0,ema,StochAstic_k,-0.1761116363275036,-0.1784534890055876,4.0,429.0,161.0,20T,-0.1300579922129401
4664,343.0,304.0,16.0,ema,StochAstic_k,-0.2127339208563539,-0.2154903813227485,1.0,351.0,381.0,20T,-0.1300674493934674
4665,895.0,786.0,15.0,sma,StochAstic_d,-0.3552381588122874,-0.344482084795443,1.0,304.0,119.0,20T,-0.1301126689474143
4666,467.0,353.0,19.0,sma,StochAstic_k,-0.2910634437380782,-0.2913765664860843,6.0,70.0,449.0,20T,-0.1301583029825251
4667,726.0,80.0,9.0,wma,StochAstic_d,-0.2536263662691028,-0.2557550914044224,2.0,224.0,355.0,20T,-0.1301664922543584
4668,471.0,353.0,38.0,sma,StochAstic_k,-0.299332943626265,-0.3072100742576609,5.0,402.0,486.0,20T,-0.1301968280751796
4669,387.0,242.0,13.0,wma,StochAstic_k,-0.1514073661995985,-0.1521728090224961,4.0,130.0,124.0,20T,-0.1302922043545253
4670,479.0,243.0,10.0,ema,StochAstic_k,-0.3037442327755022,-0.3034405481778853,3.0,466.0,493.0,20T,-0.1302959646543892
4671,655.0,651.0,16.0,ema,StochAstic_k,-0.1866656367540289,-0.1852726715289098,3.0,60.0,190.0,20T,-0.1303222505695918
4672,493.0,43.0,3.0,ema,StochAstic_d,-0.252644149937091,-0.2578506865054919,5.0,58.0,341.0,20T,-0.1303523360255487
4673,316.0,202.0,15.0,ema,StochAstic_k,-0.2094829073596196,-0.2119612587881947,5.0,32.0,384.0,20T,-0.1304542890638342
4674,449.0,364.0,13.0,wma,StochAstic_k,-0.2811753149181663,-0.2822195183358979,4.0,381.0,484.0,20T,-0.1304890559944225
4675,321.0,3.0,37.0,sma,StochAstic_d,-0.2322198450712322,-0.2393086733126158,2.0,126.0,431.0,20T,-0.1305086369338694
